2021-02-10 00:33:19,087 Extension .CR2 of IMG_8647.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8648.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8649.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8650.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8651.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8652.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8653.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8654.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8655.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8656.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8657.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8658.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8659.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8660.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8661.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8662.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8663.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8664.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8665.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8666.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8667.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8668.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8669.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8670.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8671.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8672.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8673.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8674.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8675.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8676.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8677.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8678.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8679.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8680.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8681.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8682.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8683.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8684.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8685.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8686.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8687.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8688.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8689.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8690.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8691.CR2 not recognized!, skipping...
2021-02-10 00:33:19,088 Extension .CR2 of IMG_8692.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8693.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8694.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8695.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8696.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .xmp of IMG_8696.xmp not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8709.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8710.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8711.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8713.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8714.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8715.CR2 not recognized!, skipping...
2021-02-10 00:33:19,089 Extension .CR2 of IMG_8717.CR2 not recognized!, skipping...
